# lats1 lons1 lats2 lon2 drift_m
75.64 129.30 75.65 129.37 2015.39
75.64 129.41 75.65 129.48 2015.38
75.64 129.52 75.65 129.59 2015.37
75.64 129.63 75.64 129.69 2015.36
75.63 129.74 75.64 129.80 2015.35
75.63 129.84 75.64 129.91 2015.34
75.63 129.95 75.64 130.02 2015.33
75.64 127.46 75.51 127.94 20178.72
75.63 128.32 75.64 128.39 2015.34
75.63 128.43 75.64 128.50 2086.84
75.63 128.54 75.64 128.60 1882.17
75.63 128.65 75.63 128.71 2015.32
75.63 128.75 75.63 128.82 2015.31
75.62 128.86 75.63 128.93 2086.81
75.62 128.97 75.63 129.04 2015.29
75.62 129.08 75.63 129.15 2015.28
75.62 129.19 75.63 129.25 2015.28
75.62 129.29 75.62 129.36 2015.27
75.61 129.40 75.62 129.47 2015.26
75.61 129.51 75.62 129.58 2015.25
75.61 129.62 75.62 129.69 2015.24
75.61 129.73 75.61 129.79 1882.08
75.61 129.83 75.61 129.90 2015.22
75.60 129.94 75.61 130.00 1882.06
75.62 127.45 75.48 127.94 20177.52
75.61 128.21 75.61 128.27 2015.23
75.61 128.32 75.61 128.38 2086.73
75.60 128.42 75.61 128.49 2086.72
75.60 128.53 75.61 128.59 1958.43
75.60 128.64 75.61 128.71 2015.20
75.60 128.75 75.61 128.81 2086.70
75.60 128.86 75.61 128.92 2086.69
75.60 128.96 75.60 129.03 2015.17
75.59 129.07 75.60 129.14 2015.17
75.59 129.18 75.60 129.25 2015.16
75.59 129.29 75.60 129.35 2015.15
75.59 129.39 75.59 129.46 2015.14
75.59 129.50 75.59 129.57 2015.13
75.58 129.61 75.59 129.67 1881.98
75.58 129.72 75.59 129.78 1881.97
75.58 129.83 75.59 129.89 1881.96
75.58 129.93 75.58 129.99 1881.95
75.58 128.20 75.59 128.27 2086.61
75.58 128.31 75.59 128.38 2086.60
75.58 128.42 75.58 128.48 1881.95
75.58 128.52 75.58 128.59 1881.95
75.57 128.63 75.58 128.70 2086.58
75.57 128.74 75.58 128.81 2086.57
75.57 128.85 75.58 128.92 2086.56
75.57 128.96 75.58 129.02 2015.05
75.57 129.06 75.57 129.13 2015.05
75.56 129.17 75.57 129.24 2015.04
75.56 129.28 75.57 129.35 2015.03
75.56 129.39 75.57 129.45 2015.02
75.56 129.49 75.57 129.56 1881.88
75.56 129.60 75.56 129.66 1881.87
75.55 129.71 75.56 129.77 1881.86
75.55 129.82 75.56 129.88 1881.85
75.55 129.92 75.56 129.99 2014.97
75.55 130.03 75.55 130.10 2014.96
75.56 127.66 75.43 128.13 19963.76
75.55 128.20 75.56 128.26 2086.49
75.55 128.30 75.56 128.37 2086.48
75.55 128.41 75.56 128.48 2086.47
75.55 128.52 75.56 128.59 2086.46
75.55 128.63 75.56 128.69 2086.46
75.55 128.73 75.55 128.80 2086.45
75.54 128.84 75.55 128.91 2086.44
75.54 128.95 75.55 129.02 2014.94
75.54 129.06 75.55 129.12 2014.93
75.54 129.16 75.54 129.23 2014.92
75.54 129.27 75.54 129.34 2014.91
75.53 129.38 75.54 129.44 1881.77
75.53 129.49 75.54 129.55 1881.76
75.53 129.59 75.54 129.65 1881.75
75.53 129.70 75.53 129.76 1881.75
75.52 129.81 75.53 129.87 1881.74
75.52 129.91 75.53 129.98 2014.85
75.52 130.02 75.53 130.09 2014.84
75.53 128.19 75.53 128.25 1881.74
75.52 128.30 75.53 128.36 2014.86
75.52 128.40 75.53 128.47 2086.35
75.52 128.51 75.53 128.57 1958.08
75.52 128.62 75.53 128.68 1958.07
75.52 128.73 75.53 128.79 1881.71
75.52 128.83 75.52 128.90 2086.32
75.51 128.94 75.52 129.01 2086.31
75.51 129.05 75.52 129.11 2014.81
75.51 129.16 75.52 129.22 2014.80
75.51 129.26 75.52 129.32 1881.67
75.51 129.37 75.51 129.43 1881.66
75.50 129.48 75.51 129.54 1881.65
75.50 129.58 75.51 129.65 1881.64
75.50 129.69 75.51 129.75 1881.63
75.50 129.80 75.50 129.86 1881.62
75.50 129.91 75.50 129.97 1881.61
75.49 130.01 75.50 130.08 2014.72
75.51 127.32 75.38 127.81 20172.76
75.51 127.43 75.38 127.92 20172.70
75.50 128.18 75.51 128.24 1881.63
75.50 128.29 75.51 128.35 1881.62
75.50 128.40 75.50 128.46 2086.22
75.49 128.50 75.50 128.57 1957.97
75.49 128.61 75.50 128.67 1881.60
75.49 128.72 75.50 128.79 2086.20
75.49 128.83 75.50 128.89 2086.19
75.49 128.93 75.49 129.00 2014.70
75.49 129.04 75.49 129.11 2014.69
75.48 129.25 75.49 129.32 2014.67
75.48 129.36 75.49 129.42 1881.55
75.48 129.47 75.48 129.53 1881.54
75.48 129.58 75.48 129.64 1881.53
75.47 129.68 75.48 129.74 1881.52
75.47 129.79 75.48 129.85 1881.51
75.47 129.90 75.48 129.96 1881.50
75.47 130.00 75.47 130.06 1881.49
75.46 130.11 75.47 130.17 1881.48
75.48 127.32 75.35 127.80 20171.55
75.48 127.53 75.35 127.97 19340.78
75.47 128.07 75.48 128.14 2217.12
75.47 128.18 75.48 128.24 1881.52
75.47 128.28 75.48 128.35 1881.51
75.47 128.50 75.48 128.56 1881.50
75.47 128.61 75.47 128.67 1881.49
75.46 128.71 75.47 128.78 2086.08
75.46 128.82 75.47 128.89 2086.07
