# lats1 lons1 lats2 lon2 drift_m
74.42 129.01 74.42 129.06 1474.91
74.43 129.01 74.44 129.06 1474.96
74.43 129.06 74.44 129.11 1474.95
74.42 129.06 74.42 129.11 1563.34
74.40 129.06 74.41 129.11 1526.95
74.39 129.05 74.39 129.11 1653.71
74.38 129.05 74.38 129.10 1653.66
74.36 129.04 74.36 129.09 1504.57
74.35 129.04 74.35 129.09 1504.52
74.35 128.99 74.35 129.04 1504.53
74.34 128.99 74.34 129.04 1504.48
74.32 128.98 74.32 129.03 1504.43
74.33 128.94 74.33 128.99 1526.66
74.31 128.93 74.31 128.98 1526.61
74.30 128.93 74.30 128.98 1504.34
74.29 128.92 74.29 128.97 1504.29
74.29 128.88 74.29 128.93 1526.52
74.27 128.87 74.27 128.92 1526.47
74.26 128.87 74.26 128.92 1526.42
74.25 128.87 74.25 128.91 1379.93
74.23 128.86 74.23 128.91 1379.88
74.23 128.81 74.24 128.86 1379.88
74.23 128.76 74.24 128.81 1379.89
74.25 128.77 74.25 128.81 1379.93
74.25 128.72 74.25 128.76 1379.93
74.25 128.67 74.25 128.71 1379.94
74.24 128.67 74.24 128.71 1379.89
74.22 128.66 74.22 128.71 1379.85
74.22 128.71 74.22 128.76 1379.85
74.24 128.71 74.24 128.76 1379.89
74.22 128.76 74.22 128.81 1379.84
74.21 128.76 74.21 128.80 1379.80
74.21 128.81 74.21 128.85 1379.79
74.22 128.81 74.22 128.85 1379.84
74.22 128.86 74.22 128.90 1379.84
74.22 128.91 74.22 128.95 1355.21
74.23 128.91 74.23 128.96 1379.88
74.24 128.91 74.25 128.96 1379.92
74.26 128.92 74.26 128.96 1355.35
74.27 128.92 74.27 128.97 1526.46
74.27 128.97 74.27 129.02 1504.24
74.28 128.97 74.28 129.02 1504.28
74.30 128.98 74.30 129.03 1504.33
74.31 128.98 74.31 129.03 1504.38
74.31 129.03 74.31 129.08 1504.38
74.31 129.08 74.31 129.13 1504.37
74.32 129.08 74.32 129.13 1504.42
74.32 129.03 74.32 129.08 1504.43
74.34 129.04 74.34 129.09 1504.47
74.34 129.09 74.34 129.14 1504.47
74.35 129.09 74.35 129.14 1504.52
74.36 129.09 74.36 129.14 1504.57
74.38 129.10 74.38 129.15 1653.65
74.39 129.10 74.39 129.16 1653.70
74.39 129.15 74.39 129.21 1653.70
74.40 129.15 74.40 129.21 1563.29
74.42 129.16 74.42 129.21 1563.34
74.42 129.11 74.42 129.16 1563.34
74.43 129.11 74.43 129.16 1563.39
74.43 129.16 74.43 129.21 1563.39
74.41 129.21 74.42 129.26 1563.33
74.40 129.20 74.40 129.26 1653.75
74.39 129.20 74.39 129.26 1653.70
74.37 129.20 74.37 129.25 1653.64
74.37 129.25 74.37 129.30 1653.64
74.39 129.25 74.39 129.31 1653.69
74.40 129.25 74.40 129.31 1653.75
74.40 129.30 74.40 129.35 1497.21
74.39 129.30 74.38 129.35 1497.16
74.37 129.30 74.37 129.35 1497.12
74.37 129.35 74.37 129.40 1497.11
74.38 129.35 74.38 129.40 1497.16
74.40 129.35 74.40 129.40 1504.69
74.40 129.40 74.40 129.45 1497.21
74.41 129.41 74.41 129.45 1347.53
74.41 129.36 74.41 129.41 1504.74
74.42 129.36 74.42 129.41 1347.57
74.42 129.41 74.42 129.46 1347.57
74.42 129.46 74.42 129.51 1347.57
74.42 129.51 74.42 129.56 1347.56
74.41 129.51 74.41 129.55 1347.52
74.39 129.50 74.39 129.55 1347.48
74.40 129.45 74.39 129.50 1347.48
74.41 129.46 74.41 129.50 1347.52
74.38 129.45 74.38 129.49 1347.44
74.38 129.40 74.38 129.45 1497.16
74.37 129.40 74.37 129.45 1497.11
74.37 129.45 74.37 129.49 1497.11
74.36 129.44 74.35 129.49 1497.06
74.36 129.39 74.36 129.44 1497.06
74.36 129.34 74.36 129.39 1497.07
74.36 129.29 74.36 129.34 1497.07
74.36 129.24 74.36 129.29 1497.07
74.36 129.19 74.36 129.25 1653.59
74.36 129.14 74.36 129.20 1653.59
74.38 129.15 74.38 129.20 1653.65
74.35 129.14 74.35 129.20 1653.54
74.33 129.14 74.34 129.19 1504.47
74.32 129.13 74.32 129.18 1504.42
74.31 129.13 74.31 129.18 1504.37
74.29 129.13 74.30 129.18 1504.32
74.29 129.18 74.29 129.22 1496.84
74.31 129.18 74.31 129.23 1496.88
74.32 129.18 74.32 129.23 1496.93
74.33 129.19 74.33 129.24 1653.48
74.35 129.19 74.35 129.24 1653.54
74.35 129.24 74.35 129.29 1497.02
74.33 129.24 74.33 129.29 1496.98
74.32 129.23 74.32 129.28 1496.93
74.32 129.28 74.32 129.33 1496.92
74.33 129.29 74.33 129.33 1496.97
74.35 129.29 74.34 129.34 1497.02
74.34 129.34 74.34 129.39 1497.02
74.33 129.33 74.33 129.38 1496.97
74.33 129.38 74.33 129.43 1496.97
74.34 129.39 74.34 129.44 1497.01
74.34 129.44 74.34 129.49 1497.01
74.33 129.43 74.33 129.48 1496.96
74.33 129.48 74.33 129.53 1496.96
74.34 129.49 74.34 129.54 1497.01
74.35 129.49 74.35 129.54 1497.05
74.37 129.49 74.37 129.54 1497.10
74.38 129.50 74.38 129.54 1347.44
74.38 129.55 74.38 129.59 1347.43
74.39 129.55 74.39 129.60 1347.47
74.41 129.56 74.41 129.60 1347.52
74.42 129.56 74.42 129.61 1355.87
74.42 129.61 74.42 129.66 1355.87
74.41 129.61 74.41 129.65 1355.83
74.39 129.60 74.39 129.65 1355.78
74.38 129.60 74.38 129.64 1347.43
74.37 129.59 74.36 129.64 1347.39
74.37 129.54 74.37 129.59 1497.10
74.35 129.54 74.35 129.59 1504.53
74.34 129.54 74.34 129.59 1504.48
74.34 129.59 74.34 129.64 1504.48
74.35 129.59 74.35 129.64 1504.53
74.35 129.64 74.35 129.69 1504.52
74.35 129.69 74.35 129.73 1355.64
74.36 129.69 74.36 129.74 1355.68
74.38 129.70 74.37 129.75 1504.61
74.38 129.65 74.38 129.69 1347.42
74.39 129.65 74.39 129.70 1355.78
74.41 129.66 74.41 129.70 1355.82
74.42 129.66 74.42 129.70 1355.87
74.42 129.71 74.42 129.75 1355.86
74.42 129.76 74.42 129.80 1207.16
74.40 129.76 74.40 129.80 1355.82
74.40 129.71 74.40 129.75 1355.82
74.39 129.70 74.39 129.75 1355.78
74.39 129.75 74.39 129.80 1355.77
74.38 129.75 74.37 129.80 1526.83
74.37 129.80 74.37 129.84 1380.34
74.37 129.85 74.37 129.89 1420.43
74.37 129.90 74.37 129.94 1420.43
74.37 129.95 74.37 129.99 1420.43
74.38 129.95 74.38 129.99 1279.33
74.39 129.90 74.38 129.94 1339.37
74.39 129.85 74.38 129.89 1420.48
74.39 129.80 74.38 129.84 1420.48
74.40 129.80 74.40 129.85 1355.81
74.40 129.85 74.40 129.90 1420.52
74.40 129.90 74.39 129.94 1412.86
74.40 129.95 74.39 129.99 1339.41
74.40 130.00 74.39 130.04 1279.37
74.41 130.01 74.41 130.05 1279.41
74.41 130.06 74.40 130.10 1279.41
74.42 130.06 74.42 130.10 1279.45
74.42 130.11 74.42 130.15 1279.44
74.41 130.11 74.40 130.15 1279.40
74.41 130.16 74.40 130.20 1279.40
74.42 130.16 74.42 130.20 1279.44
74.41 130.21 74.40 130.24 1279.39
74.40 130.26 74.40 130.29 1279.39
74.40 130.31 74.40 130.34 1279.39
74.39 130.30 74.38 130.34 1279.35
74.39 130.25 74.39 130.29 1279.35
74.39 130.20 74.39 130.24 1279.35
74.39 130.15 74.39 130.19 1279.36
74.39 130.10 74.39 130.14 1279.36
74.40 130.05 74.39 130.09 1279.37
74.38 130.05 74.38 130.09 1279.32
74.38 130.00 74.38 130.04 1279.33
74.37 129.99 74.37 130.03 1279.29
74.36 129.99 74.35 130.03 1420.38
74.36 129.94 74.35 129.98 1420.38
74.36 129.89 74.36 129.94 1380.29
74.36 129.84 74.36 129.89 1380.30
74.35 129.84 74.34 129.88 1380.25
74.35 129.79 74.34 129.83 1380.26
74.35 129.74 74.35 129.78 1380.26
74.36 129.74 74.36 129.79 1380.30
74.36 129.79 74.36 129.84 1380.30
74.33 129.78 74.33 129.83 1380.21
74.32 129.78 74.32 129.82 1380.17
74.32 129.73 74.32 129.77 1355.55
74.32 129.68 74.32 129.73 1355.55
74.32 129.63 74.32 129.68 1355.56
74.33 129.58 74.32 129.63 1355.56
74.33 129.53 74.32 129.58 1504.43
74.31 129.53 74.31 129.57 1355.52
74.31 129.48 74.31 129.53 1496.91
74.30 129.48 74.30 129.52 1355.48
74.30 129.43 74.30 129.48 1496.87
74.30 129.38 74.30 129.43 1496.87
74.32 129.38 74.32 129.43 1496.92
74.32 129.33 74.32 129.38 1496.92
74.30 129.33 74.30 129.38 1496.87
74.29 129.32 74.29 129.37 1496.82
74.29 129.37 74.29 129.42 1496.82
74.29 129.42 74.29 129.47 1355.44
74.28 129.42 74.27 129.46 1355.40
74.28 129.37 74.27 129.41 1355.40
74.28 129.32 74.28 129.37 1496.78
74.26 129.32 74.26 129.36 1347.06
74.25 129.31 74.25 129.36 1355.32
74.24 129.31 74.24 129.35 1346.97
74.24 129.36 74.23 129.40 1206.64
74.25 129.36 74.25 129.41 1355.31
74.25 129.41 74.25 129.45 1355.31
74.26 129.41 74.26 129.46 1355.35
74.26 129.37 74.26 129.41 1355.36
74.27 129.27 74.26 129.31 1347.06
74.27 129.22 74.27 129.27 1496.74
74.28 129.22 74.28 129.27 1496.78
74.28 129.17 74.28 129.22 1496.79
74.28 129.12 74.28 129.17 1504.27
74.27 129.12 74.27 129.17 1504.23
74.27 129.07 74.27 129.12 1504.23
74.28 129.07 74.28 129.12 1504.28
74.28 129.02 74.28 129.07 1504.28
74.30 129.03 74.30 129.08 1504.33
74.30 129.08 74.30 129.13 1504.33
74.27 129.02 74.27 129.07 1504.23
74.26 129.02 74.26 129.06 1355.34
74.24 129.01 74.24 129.06 1355.30
74.24 128.96 74.24 129.01 1355.30
74.26 128.97 74.26 129.01 1355.34
74.23 128.96 74.23 129.01 1355.26
74.23 129.01 74.23 129.05 1355.25
74.22 129.01 74.22 129.05 1355.21
74.22 129.06 74.22 129.10 1355.21
74.23 129.06 74.23 129.10 1355.25
74.24 129.06 74.24 129.11 1355.29
74.26 129.07 74.26 129.11 1355.34
74.25 129.12 74.26 129.16 1355.33
74.25 129.16 74.25 129.21 1355.33
74.27 129.17 74.27 129.22 1496.74
74.25 129.21 74.25 129.26 1347.02
74.24 129.21 74.24 129.25 1346.97
74.24 129.26 74.24 129.30 1346.97
74.25 129.26 74.25 129.31 1347.02
74.28 129.27 74.28 129.32 1496.78
74.29 129.27 74.29 129.32 1496.83
74.29 129.22 74.29 129.27 1496.83
74.31 129.23 74.31 129.28 1496.88
74.31 129.28 74.30 129.33 1496.88
74.32 129.43 74.31 129.48 1496.91
74.29 129.47 74.29 129.52 1355.44
74.27 129.47 74.27 129.51 1355.39
74.27 129.52 74.27 129.56 1355.39
74.29 129.52 74.28 129.56 1355.43
74.30 129.52 74.30 129.57 1355.48
74.30 129.57 74.30 129.62 1355.47
74.31 129.58 74.31 129.62 1355.52
74.31 129.63 74.31 129.67 1355.51
74.31 129.68 74.31 129.72 1355.51
74.30 129.67 74.29 129.71 1234.40
74.30 129.62 74.29 129.66 1234.40
74.28 129.62 74.28 129.66 1234.37
74.27 129.62 74.27 129.65 1234.33
74.27 129.57 74.27 129.61 1355.39
74.29 129.57 74.28 129.61 1355.43
74.28 129.67 74.28 129.71 1234.36
74.27 129.66 74.27 129.70 1234.32
74.26 129.66 74.25 129.70 1234.28
74.26 129.61 74.26 129.65 1206.70
74.26 129.56 74.26 129.60 1206.70
74.25 129.56 74.24 129.60 1206.66
74.25 129.51 74.24 129.55 1206.67
74.25 129.46 74.25 129.50 1355.31
74.23 129.46 74.23 129.50 1206.63
74.24 129.41 74.23 129.45 1206.63
74.22 129.40 74.22 129.44 1206.60
74.22 129.45 74.22 129.49 1206.59
74.21 129.45 74.21 129.49 1206.55
74.21 129.40 74.21 129.44 1206.56
74.21 129.35 74.21 129.39 1206.56
74.22 129.35 74.22 129.39 1206.60
74.22 129.30 74.22 129.34 1197.27
74.21 129.30 74.21 129.34 1197.23
74.20 129.30 74.20 129.34 1197.19
74.20 129.35 74.19 129.39 1206.52
74.20 129.40 74.19 129.43 1206.52
74.19 129.44 74.19 129.48 1206.51
74.19 129.49 74.19 129.53 1206.51
74.21 129.50 74.20 129.54 1206.55
74.22 129.50 74.22 129.54 1206.59
74.23 129.51 74.23 129.54 1206.63
74.23 129.55 74.23 129.59 1206.62
74.22 129.55 74.22 129.59 1206.59
74.22 129.60 74.21 129.64 1234.17
74.23 129.60 74.23 129.64 1234.21
74.24 129.61 74.24 129.65 1206.66
74.24 129.66 74.24 129.70 1234.24
74.24 129.71 74.24 129.74 1234.24
74.26 129.71 74.25 129.75 1234.28
74.27 129.71 74.27 129.75 1234.32
74.28 129.72 74.28 129.76 1234.36
74.28 129.77 74.28 129.81 1234.36
74.29 129.77 74.29 129.81 1234.39
